number_of_targets,small_fontsize,smallword_length,big_fontsize,bigword_length,distance_between,flash_time,small_luminosity,big_luminosity,rule
2,22,6,22,6,100,-1,40,80,opposite_on_circle
2,20,6,21,6,100,-1,0,30,opposite_on_circle
2,20,6,21,6,200,-1,0,30,opposite_on_circle
2,20,6,21,6,300,-1,0,30,opposite_on_circle
2,20,6,21,6,400,-1,0,30,opposite_on_circle
2,20,6,21,6,500,-1,0,30,opposite_on_circle
2,20,6,21,6,600,-1,0,30,opposite_on_circle
2,20,6,22,6,100,-1,0,60,opposite_on_circle
2,20,6,22,6,200,-1,0,60,opposite_on_circle
2,20,6,22,6,300,-1,0,60,opposite_on_circle
2,20,6,22,6,400,-1,0,60,opposite_on_circle
2,20,6,22,6,500,-1,0,60,opposite_on_circle
2,20,6,22,6,600,-1,0,60,opposite_on_circle
2,20,6,23,6,100,-1,0,90,opposite_on_circle
2,20,6,23,6,200,-1,0,90,opposite_on_circle
2,20,6,23,6,300,-1,0,90,opposite_on_circle
2,20,6,23,6,400,-1,0,90,opposite_on_circle
2,20,6,23,6,500,-1,0,90,opposite_on_circle
2,20,6,23,6,600,-1,0,90,opposite_on_circle
2,21,6,22,6,100,-1,30,60,opposite_on_circle
2,21,6,22,6,200,-1,30,60,opposite_on_circle
2,21,6,22,6,300,-1,30,60,opposite_on_circle
2,21,6,22,6,400,-1,30,60,opposite_on_circle
2,21,6,22,6,500,-1,30,60,opposite_on_circle
2,21,6,22,6,600,-1,30,60,opposite_on_circle
2,21,6,23,6,100,-1,30,90,opposite_on_circle
2,21,6,23,6,200,-1,30,90,opposite_on_circle
2,21,6,23,6,300,-1,30,90,opposite_on_circle
2,21,6,23,6,400,-1,30,90,opposite_on_circle
2,21,6,23,6,500,-1,30,90,opposite_on_circle
2,21,6,23,6,600,-1,30,90,opposite_on_circle
2,21,6,24,6,100,-1,30,120,opposite_on_circle
2,21,6,24,6,200,-1,30,120,opposite_on_circle
2,21,6,24,6,300,-1,30,120,opposite_on_circle
2,21,6,24,6,400,-1,30,120,opposite_on_circle
2,21,6,24,6,500,-1,30,120,opposite_on_circle
2,21,6,24,6,600,-1,30,120,opposite_on_circle
2,22,6,23,6,100,-1,60,90,opposite_on_circle
2,22,6,23,6,200,-1,60,90,opposite_on_circle
2,22,6,23,6,300,-1,60,90,opposite_on_circle
2,22,6,23,6,400,-1,60,90,opposite_on_circle
2,22,6,23,6,500,-1,60,90,opposite_on_circle
2,22,6,23,6,600,-1,60,90,opposite_on_circle
2,22,6,24,6,100,-1,60,120,opposite_on_circle
2,22,6,24,6,200,-1,60,120,opposite_on_circle
2,22,6,24,6,300,-1,60,120,opposite_on_circle
2,22,6,24,6,400,-1,60,120,opposite_on_circle
2,22,6,24,6,500,-1,60,120,opposite_on_circle
2,22,6,24,6,600,-1,60,120,opposite_on_circle
2,22,6,25,6,100,-1,60,150,opposite_on_circle
2,22,6,25,6,200,-1,60,150,opposite_on_circle
2,22,6,25,6,300,-1,60,150,opposite_on_circle
2,22,6,25,6,400,-1,60,150,opposite_on_circle
2,22,6,25,6,500,-1,60,150,opposite_on_circle
2,22,6,25,6,600,-1,60,150,opposite_on_circle
