index_of_difficulty,time,sizediff
1.41841,0.93,1
2.20271,0.948,1
3.86139,0.874,1
0.2348,0.724,2
3.085,0.914,2
3.28123,1.14,2
1.66428,0.867,3
2.7433,0.908,3
3.13135,0.983,3
3.50621,0.796,3
3.05144,0.833,3
4.37076,0.937,3
1.16989,0.644,1
2.65498,0.706,1
3.37075,1.17,1
2.62035,1.175,1
4.10468,3.549,1
4.36351,1.041,1
0.815613,0.727,2
2.35139,0.976,2
2.52744,0.887,2
3.39621,0.981,2
3.62181,0.833,2
3.83489,1.025,2
0.261554,0.637,3
2.18204,0.72,3
2.7795,0.912,1
3.78085,1.146,1
4.25015,0.967,1
2.76645,1.07,2
3.70795,0.922,2
3.47589,1.027,2
3.29923,0.927,3
3.77261,0.756,3
3.93674,1.116,3
4.24323,1.314,3
1.4652,0.678,1
2.07433,0.815,1
3.15695,0.912,1
3.63013,1.065,1
4.02057,1.202,1
4.22965,1.384,1
1.69579,0.961,2
2.72199,1.081,2
3.25674,0.996,2
3.08945,1.212,2
3.76084,1.443,2
4.3625,0.952,2
1.78046,0.826,3
2.73752,0.911,3
3.36361,0.811,3
3.7323,1.049,3
3.72346,1.084,3
4.32477,1.685,3
0.202634,2.239,1
2.78574,3.367,1
3.11,2.014,1
2.99657,2.019,1
4.1049,3.267,1
4.35816,3.33,1
0.157217,1.514,2
2.77834,2.043,2
2.98155,3.319,2
3.78303,1.592,2
2.51663,1.663,2
4.2697,1.377,2
1.45827,1.176,3
0.200283,1.953,1
2.35503,5.051,1
3.24478,55.681,1
3.76434,2.059,1
3.96555,1.493,1
4.29681,1.886,1
1.30668,2.073,2
2.48688,3.208,2
3.30214,1.439,2
3.63815,2.99,2
4.07995,2.018,2
3.62877,1.857,2
0.365675,1.15,3
2.77098,2.928,3
2.9845,1.708,3
2.9845,1.708,3
4.04847,1.474,3
3.27204,2.767,3
1.64477,1.246,1
2.58369,1.281,1
2.81149,1.116,1
3.73915,1.551,1
3.89933,2.002,1
4.33601,1.98,1
1.6795,1.407,2
2.73946,1.515,2
2.53122,1.867,2
3.7242,1.225,2
4.09478,1.912,2
4.3247,1.903,2
0.963625,1.702,3
1.83871,2.411,3
3.16105,1.637,3
3.78416,1.487,3
4.10255,1.643,3
3.87474,2.231,3
0.207943,2.512,1
1.18978,1.361,1
3.36927,2.237,1
2.92825,1.807,1
2.92825,1.807,1
4.20215,1.82,1
1.7812,2.298,2
2.07604,1.741,2
3.36754,3.219,2
3.64687,1.648,2
3.55937,2.22,2
4.35229,1.668,2
1.78573,1.058,3
1.91621,1.362,3
3.33499,1.355,3
3.33499,1.355,3
3.2396,0.006,3
3.2396,0.006,3
